date,open,high,low,close,volume,barCount,WAP
2023-12-18,14.6,15.03,14.4,14.57,5456484.0,19308,
2023-12-19,14.68,15.23,14.23,14.32,6153208.0,20604,
2023-12-20,14.18,14.61,13.33,13.39,7057842.0,25726,
2023-12-21,13.83,14.0,13.51,13.79,3727733.0,14698,
2023-12-22,13.91,14.15,13.53,13.64,3912160.0,15210,
2023-12-26,13.67,13.74,13.0,13.52,7448140.0,22741,
2023-12-27,13.64,13.91,13.17,13.21,6151282.0,19585,
2023-12-28,13.15,13.4,13.02,13.23,4094552.0,14093,
2023-12-29,13.17,13.18,12.33,12.39,6863483.0,23349,
2024-01-02,12.35,12.59,12.1,12.16,4474568.0,17881,
2024-01-03,11.81,12.09,11.77,11.93,4720510.0,20138,
2024-01-04,12.06,12.61,11.85,12.28,5880783.0,22293,
2024-01-05,12.09,12.38,11.95,12.0,4742585.0,20848,
2024-01-08,12.12,12.73,12.02,12.64,4698913.0,18478,
2024-01-09,12.42,12.64,12.17,12.45,3981388.0,16039,
2024-01-10,12.46,12.49,11.61,12.09,5863650.0,22414,
2024-01-11,12.07,12.27,11.36,11.56,5504849.0,22826,
2024-01-12,11.75,11.97,11.37,11.4,3477948.0,14451,
2024-01-16,11.2,11.27,10.87,10.97,4499263.0,19998,
2024-01-17,10.7,10.89,10.46,10.85,3735516.0,18178,
2024-01-18,11.39,11.4,10.47,10.72,4500867.0,17784,
2024-01-19,10.84,10.86,10.32,10.85,4263536.0,18253,
2024-01-22,11.18,11.87,11.15,11.72,5729209.0,24299,
2024-01-23,12.1,12.12,11.54,11.75,3999274.0,16421,
2024-01-24,12.05,12.1,11.06,11.07,3902580.0,16198,
2024-01-25,11.45,11.99,11.16,11.28,5679567.0,21608,
2024-01-26,11.38,11.57,10.95,11.01,3664918.0,14983,
2024-01-29,10.89,11.22,10.75,11.21,3709623.0,13697,
2024-01-30,11.06,11.12,10.55,10.69,4423410.0,19377,
2024-01-31,10.62,10.94,10.27,10.27,3956796.0,17044,
2024-02-01,10.47,10.48,9.93,10.24,5007017.0,19417,
2024-02-02,10.02,10.34,9.89,10.27,4067418.0,16658,
2024-02-05,10.12,10.16,9.6,9.87,4417360.0,19179,
2024-02-06,9.9,10.46,9.79,10.44,4449152.0,18042,
2024-02-07,10.37,10.5,10.16,10.41,3607243.0,14806,
2024-02-08,10.45,10.99,10.38,10.9,4547235.0,17419,
2024-02-09,11.23,11.25,10.76,11.16,4343172.0,16882,
2024-02-12,11.13,12.03,11.06,11.62,6247975.0,24301,
2024-02-13,10.73,10.9,10.45,10.54,5712983.0,21792,
2024-02-14,10.94,10.98,10.5,10.93,4230173.0,16034,
2024-02-15,11.17,11.28,10.77,11.01,3961986.0,16228,
